Genre,Description,original_index,unique_index
"Animation,Adventure,Comedy","An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",815,813
"Animation,Comedy,Family","Minions Stuart, Kevin and Bob are recruited by Scarlett Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",816,814
"Comedy,Drama,Romance","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",817,815
"Animation,Family,Comedy","When a bird 'flies' into a chicken farm, the fellow chickens see him as an opportunity to escape their evil owners.",818,816
"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy","Cloudy with a Chance of Meatballs 2 picks up where Sony Pictures Animation's hit comedy left off. Inventor Flint Lockwood's genius is finally being recognized as he's invited by his idol Chester V to join The Live Corp Company, where the best and brightest inventors in the world create technologies for the betterment of mankind. Chester's right-hand-gal - and one of his greatest inventions - is Barb (a highly evolved orangutan with a human brain, who is also devious, manipulative and likes to,wear lipstick). It's always been Flint's dream to be recognized as a great inventor, but everything changes when he discovers that his most infamous machine (which turns water into food) is still operating and is now creating food-animal hybrids - 'foodimals!' With the fate of humanity in his hands, Chester sends Flint and his friends on a dangerously delicious mission, battling hungry tacodiles, shrimpanzees, apple pie-thons, double bacon cheespiders and other food creatures to save the world again!",819,817
"Animation,Adventure,Comedy","After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",820,818
"Animation,Action,Adventure","Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",821,819
"Action,Adventure,Sci-Fi","The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time.",822,820
"Animation,Adventure,Comedy","Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",823,821
"Animation,Adventure,Comedy","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",824,822
"Animation,Adventure,Comedy",A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.,825,823
"Animation,Adventure,Family",A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.,826,824
"Animation,Adventure,Comedy",The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,827,825
"Animation,Adventure,Comedy","Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",828,826
"Animation,Action,Comedy","The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",829,827
"Drama,Family,Fantasy","When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",830,828
"Drama,Sport",A behind-the-scenes look at the life-and-death struggles of modern-day gladiators and those who lead them.,831,829
"Comedy,Drama,Family",A young orphan girl's adventures in finding a family that will take her.,832,830
"Comedy,Family","Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day.",833,831
"Adventure,Comedy,Family","Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",834,832
"Animation,Adventure,Comedy","Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",835,833
Comedy,"A 1960s hipster secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place.",836,834
"Animation,Family,Fantasy",Canterlot High and a rival school face off in a series of sporting events.,837,835
"Comedy,Crime,Drama","Bi-polar mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective, is recruited to close the case.",838,836
"Adventure,Family,Fantasy","The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.",839,837
"Comedy,Family,Fantasy",A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.,840,838
"Action,Adventure,Family","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",841,839
"Documentary,Biography,Family","Usama Alshaibi, an Iraqi-American filmmaker, confronts the issues on identity and perception toward Arab-Americans in today's society. Alshaibi conveys to the audience that Arab-Americans ...",842,840
"Animation,Comedy,Family","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",843,841
"Animation,Comedy,Family","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",844,842
"Animation,Adventure,Comedy","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",845,843
"Animation,Adventure,Comedy","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",846,844
Comedy,Three company workers who hate their jobs decide to rebel against their greedy boss.,847,845
"Animation,Comedy,Fantasy","In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.",848,846
"Comedy,Family,Sci-Fi",The Martians kidnap Santa because there is nobody on Mars to give their children presents.,849,847
"Comedy,Fantasy",Bank clerk Stanley Ipkiss is transformed into a manic super-hero when he wears a mysterious mask.,850,848
"Family,Comedy",An evil millionaire (Hulk Hogan) gets amnesia and then belives that he is Santa Claus.,851,849
"Animation,Adventure,Drama","To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she ever suspected.",852,850
"Comedy,Family,Music","During their first year of high school, four best girlfriends face off against the domineering student body president who wants to split them up into different social cliques.",853,851
"Action,Adventure,Comedy","Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by ...",854,852
"Animation,Adventure,Comedy","A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo, and Ranger Smith.",855,853
"Comedy,Drama,Music",In the early 1980s Stevo and Heroin Bob are the only two dedicated punks in conservative Salt Lake City.,856,854
"Drama,Kids & Family","Five siblings, left on their own, spend a summer's day full of fantasy and chaos.",857,855
"Documentary,Drama,Family","IN MY FATHER'S HOUSE explores identity and legacy in the African-American family, as Grammy award-winning rapper Che 'Rhymefest' Smith and his long-lost father reconnect and try to build a ...",858,856
"Documentary,Drama,Family","Ryan Green's four year old son Joel has terminal cancer. Ryan, an indie video game developer, is building an unusually poetic video game to document his experiences raising a dying child, ...",859,857
"Documentary,Biography,Family","Adopted from South Korea, raised on different continents & connected through social media, Samantha & Anaïs believe that they are twin sisters separated at birth.",860,858
"Documentary,Biography,Family",CODE documentary exposes the dearth of female and minority software engineers and explores the reasons for this gender gap and digital divide. The film highlights breakthrough efforts that ...,861,859
"Comedy,Drama,Fantasy","Set ten years after the most peaceful revolution in United States history, a revolution in which a socialist government gains power, this films presents a dystopia in which the issues of ...",862,860
"Documentary,Family","Fifty years ago there were close to half-a-million lions in Africa. Today there are around 20,000. To make matters worse, lions, unlike elephants, which are far more numerous, have ...",863,861
"Documentary,Adventure,Family","REVOLUTION is a film about changing the world, going for it, taking a stand, and fighting for something. A true-life adventure following Director, Rob Stewart (SHARKWATER) over four years ...",864,862
"Documentary,Drama,Family",The collar awarded to the winners of the Meilleur Ouvrier de France (Best Craftsman in France) is more than the ultimate recognition for every pastry chef - it is a dream and an obsession. ...,865,863
"Documentary,Drama,Family","The film follows seven wine-making families in the Burgundy region of France through the course of a full year, and delves into the cultural and creative process of making wine, as well as ...",866,864
"Documentary,History,Music",The History of American Punk Rock 1980-1986,867,865
"Animation,Adventure,Comedy","Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in Miami...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother.",868,866
"Animation,Action,Adventure","In the animal city of Zootopia, a fast-talking fox who's trying to make it big goes on the run when he's framed for a crime he didn't commit. Zootopia's top cop, a self-righteous rabbit, is...",869,867
Comedy,A wacky and surreal tale that chronicles an Armenian immigrant from his celebrity birth on a US airplane in 1976 to his return to the US 20 years later where he hopes to secure employment ...,870,868
"Animation,Comedy,Drama",Charlie Brown makes his way to the national spelling bee finals.,871,869
"Animation,Comedy,Family","Taking place in a Manhattan apartment building, Max's life as a favorite pet is turned upside down, when his owner brings home a sloppy mongrel named Duke. They have to put their quarrels ...",872,870
"Animation,Adventure,Comedy","The friendly-but-forgetful blue tang fish reunites with her loved ones, and everyone learns a few things about the true meaning of family along the way.",873,871
"Animation,Action,Adventure","Continuing his 'legendary adventures of awesomeness', Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",874,872
"Adventure,Family,Fantasy",The plot is unknown.,875,873
"Drama,Family","When Krisha returns for a holiday gathering, the only things standing in her way are family, dogs, and turkey.",876,874
"Animation,Adventure,Comedy","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",877,875
"Drama,Family,Thriller","A troubled young man searches obsessively for his first love, risking everything in an increasingly desperate pursuit.",878,876
"Adventure,Family",A dog that helped US Marines in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,879,877
Comedy,Add a Plot,880,451
"Animation,Action,Adventure","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",881,878
"Animation,Adventure,Comedy",SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,882,879
"Animation,Action,Adventure",A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.,883,880
"Animation,Adventure,Comedy","It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets his father-in-law.",884,881
"Animation,Romance","THE BOOK OF LIFE, a vibrant fantasy-adventure, tells the legend of Manolo, a conflicted hero and dreamer who sets off on an epic quest through magical, mythical and wondrous worlds in order to rescue his one true love and defend his village. (c) Fox",885,882
"Animation,Adventure,Comedy","The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created.",886,883
"Animation,Comedy,Family","Young Victor conducts a science experiment to bring his beloved dog Sparky back to life, only to face unintended, sometimes monstrous, consequences.",887,884
"Animation,Adventure,Comedy","A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse.",888,885
"Animation,Adventure,Comedy","In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management.",889,886
"Action,Adventure,Horror","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",890,887
"Animation,Adventure,Comedy","The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life.",891,888
"Animation,Adventure,Comedy",A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,892,889
"Animation,Adventure,Comedy","A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.",893,890
"Animation,Adventure,Comedy","A misfit ant, looking for 'warriors' to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",894,891
"Animation,Adventure,Comedy","Spoiled by their upbringing with no idea what wild life is really like, four animals from New York Central Zoo escape, unwittingly assisted by four absconding penguins, and find themselves in Madagascar, among a bunch of merry lemurs",895,892
"Animation,Action,Adventure","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",896,893
"Adventure,Comedy,Sci-Fi","A young man is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his friend, Dr. Emmett Brown, and must make sure his high-school-age parents unite in order to save his own existence.",897,894
"Animation,Adventure,Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",898,895
"Animation,Action,Adventure","An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",899,896
"Animation,Adventure,Comedy","Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",900,897
"Animation,Adventure,Family","In the distant future, a small waste collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",901,898
"Action,Adventure,Drama",A British team is sent to cross occupied Greek territory and destroy the massive German gun emplacement that commands a key sea channel.,902,899
"Animation,Adventure,Comedy",A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive from the law.,903,900
"Comedy,Drama,War","When two escaping American World War II prisoners are killed, the German POW camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",904,901
"Animation,Action,Adventure","When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",905,902
"Animation,Action,Adventure","In the Valley of Peace, Po the Panda finds himself chosen as the Dragon Warrior despite the fact that he is obese and a complete novice at martial arts.",906,903
"Animation,Adventure,Comedy","When his new father-in-law, King Harold falls ill, Shrek is looked at as the heir to the land of Far, Far Away. Not one to give up his beloved swamp, Shrek recruits his friends Donkey and Puss in Boots to install the rebellious Artie as the new king. Princess Fiona, however, rallies a band of royal girlfriends to fend off a coup d'etat by the jilted Prince Charming.",907,904
"Animation,Adventure,Comedy",Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,908,905
"Animation,Action,Adventure","Manny, Sid, and Diego discover that the Ice Age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the wooly mammoths.",909,906
"Animation,Adventure,Comedy","Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe.",910,907
"Animation,Adventure,Comedy",Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.,911,908
"Action & Adventure,Science Fiction & Fantasy","Marvel's 'Iron Man 3' pits brash-but-brilliant industrialist Tony Stark/Iron Man against an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy's hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the,answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man? (c) Disney",912,909
"Action,Adventure,Sci-Fi","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",913,910
"Action,Adventure,Fantasy",A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,914,911
"Action,Sci-Fi,Thriller",An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.,915,912
"Action,Adventure,Fantasy","Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",916,913
"Action,Adventure,Sci-Fi","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",917,914
"Action,Drama,Sci-Fi","A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",918,915
"Action,Adventure,Sci-Fi","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",919,916
"Action,Adventure,Sci-Fi","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",920,917
"Action,Adventure,Sci-Fi","In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.",921,918
"Animation,Comedy,Family",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,922,919
"Animation,Action,Adventure","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",923,920
"Animation,Adventure,Comedy",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,924,921
"Animation,Kids & Family,Comedy","Cars gets a spin-off with this Disney Toon Studios film starring the voice of Dane Cook as a vertically-challenged plane with high hopes of becoming an air racer. ~ Jeremy Wheeler, Rovi",925,922
"Animation,Adventure,Comedy","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",926,923
"Action,Adventure,Fantasy","After rescuing Han Solo from the palace of Jabba the Hutt, the rebels attempt to destroy the second Death Star, while Luke struggles to make Vader return from the dark side of the Force.",927,924
Drama,"Three sisters find their lives spinning out of control in the wake of their parents' sudden, unexpected divorce.",928,925
"Animation,Comedy,Family","A princess, who is prepared to be wed, is sent away to New York by an evil queen, where she falls in love with a lawyer.",929,926
"Action,Adventure,Family","A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",930,927
"Biography,Drama,Thriller",A research chemist comes under personal and professional attack when he decides to appear in a '60 Minutes' expose on Big Tobacco.,931,928
"Crime,Drama","A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.",932,929
"Action,Crime,Drama",A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,933,930
"Drama,History,Thriller",A New Orleans DA discovers there's more to the Kennedy assassination than the official story.,934,931
"Biography,Drama,History",A chronicle of the life and presidency of George W. Bush.,935,932
"Drama,Sport,Thriller","After suffering a career-ending injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business.",936,933
"Action,Drama,Sport","Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",937,934
"Drama,Thriller","The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",938,935
"Crime,Drama","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",939,936
"Drama,Mystery,Thriller",An exceptionally adept Florida lawyer is offered a job to work in New York City for a high-end law firm with a high-end boss - the biggest opportunity of his career to date.,940,937
"Comedy,Sport","During a pro football strike, the owners hire substitute players.",941,938
"Action,Crime,Drama",Two veteran New York City detectives work on a case of serial executions of criminals who escaped justice.,942,939
"Biography,Drama,Family",A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,943,940
Comedy,Seven segments related to one another only in that they all purport to be based on sections of the book by David Reuben. The segments range from 'Do Aphrodisiacs Work?' in which a court ...,944,941
"Family,Fantasy,Musical",A poor boy wins the opportunity to tour the most eccentric and wonderful candy factory of all.,945,942
"Animation,Adventure,Family",Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,946,943
"Comedy,Family,Fantasy",A magic nanny comes to work for a cold banker's unhappy family.,947,944
"Adventure,Comedy,Drama","Identical twins, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.",948,945
"Comedy,Crime","The life and times of Virgil Starkwell, inept bank robber.",949,946
"Drama,Family",The team of people who saved Winter's life reassemble in the wake of her surrogate mother's passing in order to find her a companion so she can remain at the Clearwater Marine Hospital.,950,947
"Action,Adventure,Comedy",A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,951,948
Comedy,A nostalgic look at radio's golden age focusing on one ordinary family and the various performers in the medium.,952,949
"Comedy,Drama,Family","A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",953,950
"Adventure,Family,Fantasy",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,954,951
"Comedy,Family",An 8-year old troublemaker must protect his home from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,955,952
"Action,Adventure,Comedy","Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",956,953
"Documentary,Crime","Using state-of-the-art equipment, a group of activists, led by renowned dolphin trainer Ric O'Barry, infiltrate a cove near Taijii, Japan to expose both a shocking instance of animal abuse and a serious threat to human health.",957,954
"Adventure,Comedy,Family","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",958,955
"Adventure,Comedy,Family","One year after Kevin was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself in New York City, and the same criminals are not far behind.",959,956
"Adventure,Family,Fantasy","Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry.",960,957
"Adventure,Family,Fantasy","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",961,958
"Animation,Adventure,Comedy","When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",962,959
"Animation,Adventure,Comedy","The Smurfs team up with their human friends to rescue Smurfette, who has been kidnapped by Gargamel since she knows a secret spell that can turn the evil sorcerer's newest creation - creatures called the Naughties - into real Smurfs.",963,960
"Animation,Comedy,Family","The neighboring gardens of Montague and Capulet are at war, but the gnomes, Gnomeo and Juliet, are in love.",964,961
"Adventure,Comedy,Family","The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him.",965,962
"Animation,Kids & Family,Comedy","'Alvin and the Chipmunks,' a global phenomenon to generations of fans, becomes a live action/CGI motion picture event with contemporary comic sensibility. Songwriter Dave Seville transforms singing chipmunk Alvin, Simon and Theodore into pop sensations - while the out-of-control trio lays waste to Dave's home, wreaks havoc with his career, and turns Dave's once- orderly life upside-down.",966,963
"Animation,Comedy,Family","The world famous singing pre-teen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",967,964
"Comedy,Family,Fantasy","Jon Arbuckle travels to the United Kingdom, and he brings his cat, Garfield, along for the trip. A case of mistaken cat identity finds Garfield ruling over a castle, but his reign is soon jeopardized by the nefarious Lord Dargis , who has designs on the estate.",968,965
"Animation,Adventure,Comedy","E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",969,966
"Animation,Adventure,Comedy",Stuart and Snowbell set out across town to rescue a friend.,970,967
"Comedy,Family,Fantasy","Jon Arbuckle buys a second pet, a dog named Odie. However, Odie is then abducted and it is up to Jon's cat, Garfield, to find and rescue the canine.",971,968
"Comedy,Music",The inseparable duo try to organize a rock concert while Wayne must fend off a record producer who has an eye for his girlfriend.,972,969
"Animation,Comedy,Musical","When the four boys see an R-rated movie featuring Canadians Terrance & Phillip, they are pronounced 'corrupted', and their parents pressure the United States to wage war against Canada.",973,970
Comedy,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion.",974,971
Comedy,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",975,972
Comedy,A goofy detective specializing in animals goes in search of a missing dolphin mascot of a football team.,976,973
"Action,Adventure,Comedy","Dr. Evil is back...and has invented a new time machine that allows him to go back to the 60's and steal Austin Powers's mojo, inadvertently leaving him 'shagless'.",977,974
"Comedy,Music",Two slacker friends try to promote their public-access cable show.,978,975
"Animation,Action,Comedy","Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",979,976
"Adventure,Comedy","Pet detective Ace Ventura comes out of retirement to investigate the disappearance of a rare white bat, the symbol of an African tribe.",980,977
"Animation,Adventure,Comedy","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpson family are declared fugitives.",981,978
Comedy,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",982,979
Comedy,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.",983,980
"Action,Comedy,Crime","Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember - who is working with Dr. Evil.",984,981
"Animation,Adventure,Comedy","3 mysterious girls show up at canterlot high and cause trouble. With the magic of friendship, they want to defeat the mysterious girls.",985,982
"Animation,Comedy,Family","Via a magic mirror, Twilight Sparkle travels into an alternate universe in order to recover a crown that was stolen from the Crystal Empire. Upon her arrival she is horrified to learn that she has turned into a human.",986,983
"Animation,Adventure,Comedy",The plot is unknown.,987,984
"Comedy,Sci-Fi",A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.,988,985
Comedy,A wacky inventor and his wife invite two other couples for a weekend party at a romantic summer house in the 1900s countryside.,989,986
"Animation,Comedy,Family","A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick.",990,987
"Comedy,Drama","While attending a retrospect of his work, a filmmaker recalls his life and his loves: the inspirations for his films.",991,988
Comedy,"'Documentary' about a man who can look and act like whoever he's around, and meets various famous people.",992,989
Comedy,"In his attempts to reconcile a lounge singer with his mistress, a hapless talent agent is mistaken as her lover by a jealous gangster.",993,990
"Adventure,Comedy,Family","When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",994,991
"Adventure,Comedy,Family","When Captain Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",995,992
"Adventure,Family,Fantasy","Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",996,993
"Animation,Adventure,Drama","The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",997,994
"Comedy,Kids & Family","In this dark and witty fable, Nanny McPhee (a person of an unsettling appearance and magical powers) enters the household of the recently widowed Mr. Brown and attempts to tame his seven exceedingly ill-behaved children. The children, led by the oldest boy Simon, have managed to drive away 17 previous nannies and are certain that they will have no trouble with this one. But as Nanny McPhee takes control, they begin to notice that their vile behavior now leads swiftly and magically to rather,startling consequences. Her influence also extends to the family's deeper problems, including Mr. Brown's sudden and seemingly inexplicable attempts to find a new wife; an announcement by the domineering Aunt Adelaide that she intends to take one of the children away; and the sad and secret longings of their scullery maid, Evangeline. As the children's behavior begins to change, Nanny McPhee's arresting face and frame appear to change as well, creating even more questions about this mysterious stranger whom the children and their father have come to love.",998,995
"Comedy,Family,Romance","Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her 16th year.",999,996
